DATA,GRUPO,TIPO,ETAPA,TOTAL_IMPRESSOES,TOTAL_CLIQUES,TOTAL_CUSTO,TOTAL_SESSAO,TOTAL_INSCRICOES,TOTAL_MATRICULADOS,LEADS,CTR,CR,CPS,TX_LEADS,TX_INSCRITOS,CPI,TX_MATRICULADOS,CPMAT,CPA
2025-01-28,SEARCH,CURSOS,FUNDO,349519,20774,104690.998713,19543,417,42,1937,0.05943596771563205,0.9407432367382305,5.356956389141892,0.09911477255283221,0.02133756332190554,251.05755087050358,0.10071942446043165,2492.6428265,44.47366130543755
2025-01-28,SEARCH,DV360,TOPO,12595845,14144,61342.46495699999,789,8,1,20,0.0011229099754720704,0.055783371040723985,77.7471038745247,0.025348542458808618,0.010139416983523447,7667.808119624999,0.125,61342.46495699999,4.870055558559191e-06
2025-01-28,META,META,TOPO,3661174,10053,18415.999999000003,2832,1,0,3,0.0027458405418589777,0.28170695314831395,6.502824858403956,0.001059322033898305,0.00035310734463276836,18415.999999000003,0.0,,5.030080514884024e-06
2025-01-28,VALIDAÇÃO,VALIDAÇÃO,MEIO,0,0,0.0,12,0,0,0,,,0.0,0.0,0.0,,,,
2025-01-28,SEARCH,SEARCH,FUNDO,14934,824,2377.3537149999997,652,11,0,59,0.055176108209454934,0.7912621359223301,3.6462480291411037,0.09049079754601227,0.01687116564417178,216.12306499999997,0.0,,33.962195928571425
2025-01-28,META,META,FUNDO,24198802,109101,357416.679996,44752,682,12,3169,0.004508528975938561,0.4101887242096773,7.986607972738649,0.07081247765462996,0.015239542366821594,524.0713782932552,0.017595307917888565,29784.723333,92.81139444196313
2025-01-28,SEARCH,SEARCH,MEIO,93128,6286,11265.733376,4017,10,1,110,0.067498496692724,0.6390391345847916,2.8045141588249938,0.027383619616629325,0.0024894199651481204,1126.5733376,0.1,11265.733376,1.7921943009863188
2025-01-28,TIKTOK,TIKTOK,TOPO,2218075,4846,8557.82,1452,0,0,1,0.002184777340712104,0.29962855963681384,5.893815426997245,0.0006887052341597796,0.0,,,,3.858219401958906e-06
2025-01-28,SEARCH,GENERICA,FUNDO,188403,12751,48746.237691,12513,273,30,1312,0.06767938939401177,0.9813347972708023,3.89564754183649,0.10485095500679294,0.021817309997602494,178.55764721978022,0.10989010989010989,1624.8745897000001,30.75472409526814
2025-01-28,SEARCH,MICROSOFT,FUNDO,281486,8339,31070.890000000003,7606,220,10,1228,0.02962491917892897,0.9120997721549347,4.085049960557455,0.16145148566920853,0.028924533263213252,141.23131818181818,0.045454545454545456,3107.0890000000004,21.45779696132597
2025-01-28,DEMAND GEN,DEMAND GEN,FUNDO,557899,9274,6638.29384,1083,6,1,34,0.016623080521743182,0.11677808928186327,6.12954186518929,0.03139427516158818,0.00554016620498615,1106.3823066666666,0.16666666666666666,6638.29384,165.957346
2025-01-28,SEARCH,MARCAS,FUNDO,120270,42078,69950.35717199999,40786,1464,11,6660,0.34986280868046893,0.9692951185892865,1.7150580388368555,0.16329132545481292,0.03589466973961653,47.78029861475409,0.007513661202185792,6359.123379272726,8.610334462333824
2025-01-28,TIKTOK,TIKTOK,FUNDO,1656169,5725,9857.120000000003,4426,11,1,49,0.0034567728293428994,0.7731004366812227,2.227094441934027,0.011070944419340261,0.0024853140533212833,896.1018181818184,0.09090909090909091,9857.120000000003,164.28533333333337
2025-01-28,TIKTOK,TIKTOK,MEIO,602355,4463,1854.9099999999994,1259,0,0,1,0.007409252019158138,0.2820972440062738,1.4733200953137406,0.0007942811755361397,0.0,,,,0.41561953842706684
2025-01-28,SEARCH,OPORTUNIDADES,FUNDO,160241,9984,25852.411476999998,8217,217,3,1056,0.06230615135951473,0.8230168269230769,3.146210475477668,0.1285140562248996,0.02640866496288183,119.13553676036865,0.013824884792626729,8617.470492333332,20.30825724823252
2025-01-28,DEMAND GEN,DEMAND GEN,MEIO,1214677,33616,3901.391963,8968,4,1,11,0.02767484689345398,0.26677772489290813,0.43503478623996433,0.0012265834076717217,0.00044603033006244426,975.34799075,0.25,3901.391963,0.1160575905223703
2025-01-28,SEARCH,DV360,MEIO,9119242,409527,39049.352482,5771,0,0,1,0.04490800880160873,0.014091866958710904,6.766479376537862,0.00017328019407381737,0.0,,,,0.09535232715303266
2025-01-28,SEARCH,MICROSOFT,MEIO,310360,2244,428.52000000000055,649,1,0,3,0.007230313184688748,0.28921568627450983,0.6602773497688761,0.004622496147919877,0.0015408320493066256,428.52000000000055,0.0,,0.19096256684492002
2025-01-28,META,META,MEIO,6284125,137261,63170.84999999999,81113,2,1,8,0.02184249995027152,0.5909398882421081,0.7788005621786889,9.8627840173585e-05,2.465696004339625e-05,31585.424999999996,0.5,63170.84999999999,0.4602243171767654
